t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R80,R81,R82
11675,,-0.106992721557617,,-0.088007926940918,,-0.0880861282348633,-0.100898742675781,-0.0963678359985352,-0.153554916381836,-0.124414443969727,-0.127148628234863,-0.0983209609985352,-0.0726957321166992,-0.0650396347045898,-0.111211776733398,-0.1279296875,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.164961814880371,-0.100274085998535,-0.151445388793945,-0.136602401733398
11680,,-0.106992721557617,,-0.088007926940918,,-0.0880861282348633,-0.100898742675781,-0.0964460372924805,-0.153554916381836,-0.124414443969727,-0.127226829528809,-0.0983991622924805,-0.0726175308227539,-0.0649614334106445,-0.111211776733398,-0.1279296875,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.164961814880371,-0.100274085998535,-0.151445388793945,-0.136680603027344
11685,,-0.106992721557617,,-0.0879297256469727,,-0.088007926940918,-0.100898742675781,-0.0964460372924805,-0.153633117675781,-0.124414443969727,-0.127226829528809,-0.0984773635864258,-0.0726175308227539,-0.0649614334106445,-0.111211776733398,-0.1279296875,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.164883613586426,-0.100274085998535,-0.151445388793945,-0.136680603027344
11690,,-0.106992721557617,,-0.0879297256469727,,-0.088007926940918,-0.100898742675781,-0.0964460372924805,-0.153633117675781,-0.124414443969727,-0.127305030822754,-0.0984773635864258,-0.0725393295288086,-0.0648832321166992,-0.111211776733398,-0.128007888793945,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.164883613586426,-0.100274085998535,-0.151523590087891,-0.136680603027344
11695,,-0.106992721557617,,-0.0878515243530273,,-0.088007926940918,-0.100976943969727,-0.0964460372924805,-0.153711318969727,-0.124414443969727,-0.127383232116699,-0.0985546112060547,-0.0724611282348633,-0.0648050308227539,-0.111289024353027,-0.128007888793945,-0.136445999145508,-0.129727363586426,-0.156914710998535,-0.164883613586426,-0.10035228729248,-0.151523590087891,-0.136757850646973
11700,,-0.106992721557617,,-0.0878515243530273,,-0.088007926940918,-0.100976943969727,-0.0964460372924805,-0.153711318969727,-0.124414443969727,-0.127383232116699,-0.0985546112060547,-0.0724611282348633,-0.0648050308227539,-0.111289024353027,-0.128007888793945,-0.136445999145508,-0.129727363586426,-0.156914710998535,-0.164883613586426,-0.10035228729248,-0.151523590087891,-0.136757850646973
11705,,-0.106992721557617,,-0.087773323059082,,-0.0879297256469727,-0.100976943969727,-0.0964460372924805,-0.153789520263672,-0.124336242675781,-0.127461433410645,-0.0986328125,-0.072382926940918,-0.0647268295288086,-0.111289024353027,-0.128086090087891,-0.136445999145508,-0.129727363586426,-0.156914710998535,-0.164883613586426,-0.10035228729248,-0.151523590087891,-0.136757850646973
11710,,-0.106992721557617,,-0.0876960754394531,,-0.0879297256469727,-0.100976943969727,-0.0964460372924805,-0.153789520263672,-0.124336242675781,-0.127461433410645,-0.0986328125,-0.0723047256469727,-0.0646486282348633,-0.111289024353027,-0.128086090087891,-0.136445999145508,-0.129727363586426,-0.156914710998535,-0.164883613586426,-0.100430488586426,-0.151601791381836,-0.136757850646973
11715,,-0.106992721557617,,-0.0876960754394531,,-0.0879297256469727,-0.100976943969727,-0.0964460372924805,-0.153867721557617,-0.124336242675781,-0.12753963470459,-0.0987110137939453,-0.0723047256469727,-0.0646486282348633,-0.111289024353027,-0.128086090087891,-0.136445999145508,-0.129727363586426,-0.156914710998535,-0.164883613586426,-0.100430488586426,-0.151601791381836,-0.136836051940918
11720,,-0.106992721557617,,-0.0876178741455078,,-0.0878515243530273,-0.101055145263672,-0.0965242385864258,-0.153867721557617,-0.124336242675781,-0.127617835998535,-0.0987892150878906,-0.0722265243530273,-0.064570426940918,-0.111289024353027,-0.128086090087891,-0.136445999145508,-0.129805564880371,-0.156914710998535,-0.164883613586426,-0.100507736206055,-0.151601791381836,-0.136836051940918
11725,,-0.106992721557617,,-0.0876178741455078,,-0.0878515243530273,-0.101055145263672,-0.0965242385864258,-0.153945922851562,-0.124336242675781,-0.127617835998535,-0.0987892150878906,-0.072148323059082,-0.064570426940918,-0.111289024353027,-0.128164291381836,-0.136445999145508,-0.129805564880371,-0.15699291229248,-0.164883613586426,-0.100507736206055,-0.151679992675781,-0.136836051940918
11730,,-0.106992721557617,,-0.0875396728515625,,-0.0878515243530273,-0.101055145263672,-0.0965242385864258,-0.153945922851562,-0.124336242675781,-0.12769603729248,-0.0988674163818359,-0.072148323059082,-0.0644922256469727,-0.111289024353027,-0.128164291381836,-0.136445999145508,-0.129805564880371,-0.15699291229248,-0.16480541229248,-0.1005859375,-0.151679992675781,-0.136914253234863
11735,,-0.106992721557617,,-0.0875396728515625,,-0.0878515243530273,-0.101055145263672,-0.0965242385864258,-0.153945922851562,-0.124336242675781,-0.12769603729248,-0.0988674163818359,-0.0720701217651367,-0.0644140243530273,-0.111289024353027,-0.128164291381836,-0.136524200439453,-0.129805564880371,-0.15699291229248,-0.16480541229248,-0.1005859375,-0.151679992675781,-0.136914253234863
11740,,-0.106992721557617,,-0.0874614715576172,,-0.087773323059082,-0.101133346557617,-0.0965242385864258,-0.154024124145508,-0.124336242675781,-0.127774238586426,-0.0989456176757812,-0.0719928741455078,-0.0644140243530273,-0.111289024353027,-0.128242492675781,-0.136524200439453,-0.129805564880371,-0.15699291229248,-0.16480541229248,-0.100664138793945,-0.151758193969727,-0.136914253234863
