t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R99,R100,R101,R116,R117,R118,R119,R120,R121,R122,R123
970,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0419921875,0.0343360900878906,,0.0159769058227539,,,,,0.0383987426757812,0.0183982849121094,,0.0455865859985352,
980,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0419139862060547,0.0343360900878906,,0.0159769058227539,,,,,0.0382423400878906,0.0183982849121094,,0.0455865859985352,
990,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0418357849121094,0.0342578887939453,,0.0159769058227539,,,,,0.0380859375,0.0183982849121094,,0.0455865859985352,
1000,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0416803359985352,0.0342578887939453,,0.0160551071166992,,,,,0.0379295349121094,0.0183982849121094,,0.0455865859985352,
1010,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0416021347045898,0.0341796875,,0.0160551071166992,,,,,0.0377740859985352,0.0183982849121094,,0.0455083847045898,
1020,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0414457321166992,0.0341796875,,0.0161333084106445,,,,,0.0376176834106445,0.0183982849121094,,0.0455083847045898,
1030,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0413675308227539,0.0341014862060547,,0.0161333084106445,,,,,0.0374612808227539,0.0183982849121094,,0.0455083847045898,
1040,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0412111282348633,0.0341014862060547,,0.0162115097045898,,,,,0.0373048782348633,0.0183982849121094,,0.0455083847045898,
1050,0.0236330032348633,0.035038948059082,,,0.0279302597045898,,,,,,,0.041132926940918,0.0340232849121094,,0.0162115097045898,,,,,0.0371484756469727,0.0183200836181641,,0.0455083847045898,
1060,0.0236330032348633,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0409765243530273,0.0339450836181641,,0.0162115097045898,,,,,0.036992073059082,0.0183200836181641,,0.0454301834106445,
1070,0.0236330032348633,0.0349607467651367,,,0.0279302597045898,,,,,,,0.040898323059082,0.0339450836181641,,0.0162887573242188,,,,,0.0369138717651367,0.0183982849121094,,0.0454301834106445,
1080,0.0237112045288086,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0407419204711914,0.0338668823242188,,0.0162887573242188,,,,,0.0367584228515625,0.0183200836181641,,0.0454301834106445,
1090,0.0237112045288086,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0406646728515625,0.0338668823242188,,0.0162887573242188,,,,,0.0366020202636719,0.0183200836181641,,0.0453519821166992,
1100,0.0237112045288086,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0405082702636719,0.0337896347045898,,0.0163669586181641,,,,,0.0364456176757812,0.0183200836181641,,0.0453519821166992,
1110,0.0237112045288086,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0404300689697266,0.0337114334106445,,0.0163669586181641,,,,,0.0362892150878906,0.0183200836181641,,0.0453519821166992,
1120,0.0237112045288086,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0402736663818359,0.0337114334106445,,0.0163669586181641,,,,,0.0361328125,0.0183200836181641,,0.0452737808227539,
1130,0.0237112045288086,0.0349607467651367,,,0.0279302597045898,,,,,,,0.0401954650878906,0.0336332321166992,,0.0163669586181641,,,,,0.0359764099121094,0.0183200836181641,,0.0452737808227539,
1140,0.0237112045288086,0.0348825454711914,,,0.0279302597045898,,,,,,,0.0400390625,0.0335550308227539,,0.0164451599121094,,,,,0.0358209609985352,0.0183200836181641,,0.0452737808227539,
1150,0.0237894058227539,0.0348825454711914,,,0.0279302597045898,,,,,,,0.0398826599121094,0.0335550308227539,,0.0164451599121094,,,,,0.0356645584106445,0.0183200836181641,,0.0451955795288086,
1160,0.0237894058227539,0.0348825454711914,,,0.0278520584106445,,,,,,,0.0398044586181641,0.0334768295288086,,0.0164451599121094,,,,,0.0355081558227539,0.0183200836181641,,0.0451955795288086,
1170,0.0237894058227539,0.0348825454711914,,,0.0278520584106445,,,,,,,0.0396490097045898,0.0334768295288086,,0.0164451599121094,,,,,0.0354299545288086,0.0183200836181641,,0.0451955795288086,
1180,0.0237894058227539,0.0348825454711914,,,0.0278520584106445,,,,,,,0.0395708084106445,0.0333986282348633,,0.0164451599121094,,,,,0.035273551940918,0.0183200836181641,,0.0451173782348633,
1190,0.0237894058227539,0.0348825454711914,,,0.0278520584106445,,,,,,,0.0394144058227539,0.033320426940918,,0.0165233612060547,,,,,0.0351171493530273,0.0183200836181641,,0.0451173782348633,
1200,0.0238676071166992,0.0348825454711914,,,0.0278520584106445,,,,,,,0.0393362045288086,0.033320426940918,,0.0165233612060547,,,,,0.0349607467651367,0.0183200836181641,,0.0451173782348633,
1210,0.0238676071166992,0.0348052978515625,,,0.0278520584106445,,,,,,,0.039179801940918,0.0332422256469727,,0.0165233612060547,,,,,0.0348052978515625,0.0183200836181641,,0.045039176940918,
1220,0.0238676071166992,0.0348052978515625,,,0.0278520584106445,,,,,,,0.0391016006469727,0.0331640243530273,,0.0165233612060547,,,,,0.0347270965576172,0.0183200836181641,,0.045039176940918,
1230,0.0238676071166992,0.0348052978515625,,,0.0278520584106445,,,,,,,0.038945198059082,0.0331640243530273,,0.0165233612060547,,,,,0.0345706939697266,0.0183200836181641,,0.045039176940918,
1240,0.0238676071166992,0.0348052978515625,,,0.0278520584106445,,,,,,,0.0388669967651367,0.033085823059082,,0.0165233612060547,,,,,0.0344142913818359,0.0183200836181641,,0.0449609756469727,
1250,0.0238676071166992,0.0348052978515625,,,0.0278520584106445,,,,,,,0.0387115478515625,0.0330076217651367,,0.0165233612060547,,,,,0.0342578887939453,0.0183200836181641,,0.0449609756469727,
1260,0.0239458084106445,0.0348052978515625,,,0.0278520584106445,,,,,,,0.0386333465576172,0.0330076217651367,,0.0166015625,,,,,0.0341796875,0.0183200836181641,,0.0449609756469727,
1270,0.0239458084106445,0.0348052978515625,,,0.0277738571166992,,,,,,,0.0384769439697266,0.0329294204711914,,0.0166015625,,,,,0.0340232849121094,0.0183200836181641,,0.0448827743530273,
1280,0.0239458084106445,0.0347270965576172,,,0.0277738571166992,,,,,,,0.0383987426757812,0.0328521728515625,,0.0166015625,,,,,0.0338668823242188,0.0183200836181641,,0.0448827743530273,
1290,0.0239458084106445,0.0347270965576172,,,0.0277738571166992,,,,,,,0.0382423400878906,0.0328521728515625,,0.0166015625,,,,,0.0337896347045898,0.0183200836181641,,0.044804573059082,
